freq,num_neur,threshold,learning_rate,pre,post,diff,num_samps
50,500,0.075,0.0001,0.5,1.0,0.5,3.0
50,500,0.25,5e-06,0.5,1.0,0.5,2.0
50,500,0.25,1e-05,0.5,1.0,0.5,2.0
50,500,0.25,0.001,0.5,1.0,0.5,1.0
50,500,0.5,5e-06,0.5,1.0,0.5,1.0
50,500,0.5,1e-05,0.5,1.0,0.5,4.0
50,500,0.5,0.0001,0.5,1.0,0.5,4.0
50,500,0.75,5e-06,0.5,1.0,0.5,1.0
50,500,0.75,5e-05,0.5,1.0,0.5,2.0
50,500,0.75,0.0001,0.5,1.0,0.5,4.0
50,500,0.75,0.0005,0.5,1.0,0.5,5.0
100,500,0.005,5e-06,0.5,1.0,0.5,1.0
100,500,0.0075,5e-05,0.5,1.0,0.5,4.0
100,500,0.025,5e-06,0.5,1.0,0.5,2.0
100,500,0.05,1e-05,0.5,1.0,0.5,1.0
100,500,0.075,1e-05,0.5,1.0,0.5,2.0
100,500,0.075,5e-05,0.5,1.0,0.5,4.0
100,500,0.25,5e-06,0.5,1.0,0.5,1.0
100,500,0.25,5e-05,0.5,1.0,0.5,2.0
100,500,0.5,5e-06,0.5,1.0,0.5,1.0
100,500,0.5,0.0001,0.5,1.0,0.5,2.0
100,500,0.75,5e-06,0.5,1.0,0.5,4.0
100,500,0.75,1e-05,0.5,1.0,0.5,1.0
100,500,0.75,5e-05,0.5,1.0,0.5,2.0
100,500,0.75,0.0001,0.5,1.0,0.5,3.0
