num_neur,freq,threshold,learning_rate,pre,post,diff
30,100,0.00075,1.00E-05,0.5,0.973,0.473
30,100,0.00075,5.00E-05,0.5,0.658,0.158
30,100,0.00075,0.0001,0.5,0.545,0.045
30,100,0.0025,1.00E-06,0.5,0.523,0.023
30,100,0.0025,5.00E-06,0.5,0.992,0.492
30,100,0.0025,1.00E-05,0.5,0.912,0.412
30,100,0.0025,5.00E-05,0.5,0.98,0.48
30,100,0.005,5.00E-06,0.5,0.876,0.376
30,100,0.005,1.00E-05,0.5,1,0.5
30,100,0.005,5.00E-05,0.5,0.856,0.356
30,100,0.005,0.0001,0.5,0.625,0.125
30,100,0.0075,5.00E-06,0.5,0.862,0.362
30,100,0.0075,1.00E-05,0.5,1,0.5
30,100,0.0075,5.00E-05,0.5,0.938,0.438
30,100,0.0075,0.0001,0.5,0.9,0.4
30,100,0.025,1.00E-05,0.5,1,0.5
30,100,0.025,5.00E-05,0.5,0.918,0.418
30,100,0.025,0.0001,0.5,1,0.5
30,100,0.05,5.00E-05,0.5,1,0.5
30,100,0.05,0.0001,0.5,0.982,0.482
30,100,0.075,5.00E-05,0.499,0.903,0.404
30,100,0.075,0.001,0.5,0.7,0.2
30,100,0.25,5.00E-06,0.5,0.844,0.344
30,100,0.25,1.00E-05,0.5,1,0.5
30,100,0.25,5.00E-05,0.5,1,0.5
30,100,0.25,0.0001,0.5,1,0.5
30,100,0.25,0.0005,0.5,0.9,0.4
30,100,0.25,0.001,0.5,0.9,0.4
30,100,0.25,0.005,0.5,0.7,0.2
30,100,0.5,1.00E-05,0.5,0.839,0.339
30,100,0.5,5.00E-05,0.5,0.9,0.4
30,100,0.5,0.0001,0.5,1,0.5
30,100,0.5,0.0005,0.5,0.9,0.4
30,100,0.5,0.001,0.5,1,0.5
30,100,0.5,0.005,0.5,0.6,0.1
30,100,0.75,1.00E-05,0.5,0.556,0.056
30,100,0.75,5.00E-05,0.5,1,0.5
30,100,0.75,0.0001,0.5,1,0.5
30,100,0.75,0.0005,0.5,1,0.5
30,100,0.75,0.001,0.5,0.9,0.4
30,100,0.75,0.005,0.5,0.8,0.3
150,15,0.00025,5.00E-05,0.5,0.958,0.458
150,15,0.00025,0.0001,0.5,0.977,0.477
150,15,0.00025,0.0005,0.5,0.882,0.382
150,15,0.00025,0.001,0.5,0.7,0.2
150,15,0.00025,0.005,0.5,0.501,0.001
150,15,0.0005,5.00E-05,0.5,0.995,0.495
150,15,0.0005,0.0001,0.5,0.975,0.475
150,15,0.0005,0.0005,0.5,0.795,0.295
150,15,0.0005,0.001,0.5,0.8,0.3
150,15,0.0005,0.005,0.5,0.544,0.044
150,15,0.00075,5.00E-05,0.5,0.991,0.491
150,15,0.00075,0.0001,0.5,1,0.5
150,15,0.00075,0.0005,0.5,0.897,0.397
150,15,0.00075,0.001,0.5,0.501,0.001
150,15,0.00075,0.005,0.5,0.6,0.1
150,15,0.0025,5.00E-05,0.5,1,0.5
150,15,0.0025,0.0001,0.5,0.997,0.497
150,15,0.0025,0.0005,0.5,0.808,0.308
150,15,0.0025,0.001,0.5,0.69,0.19
150,15,0.005,5.00E-05,0.5,0.998,0.498
150,15,0.005,0.0001,0.5,0.999,0.499
150,15,0.005,0.0005,0.5,0.7,0.2
150,15,0.005,0.001,0.5,0.7,0.2
150,15,0.0075,1.00E-05,0.5,0.551,0.051
150,15,0.0075,5.00E-05,0.5,0.999,0.499
150,15,0.0075,0.0001,0.5,1,0.5
150,15,0.0075,0.0005,0.5,0.9,0.4
150,15,0.0075,0.001,0.5,0.9,0.4
150,15,0.0075,0.005,0.5,0.6,0.1
150,15,0.025,1.00E-05,0.5,0.884,0.384
150,15,0.025,5.00E-05,0.5,1,0.5
150,15,0.025,0.0001,0.5,0.999,0.499
150,15,0.025,0.0005,0.5,0.999,0.499
150,15,0.025,0.001,0.5,0.9,0.4
150,15,0.05,1.00E-06,0.5,0.568,0.068
150,15,0.05,5.00E-06,0.5,0.969,0.469
150,15,0.05,0.0001,0.503,1,0.497
150,15,0.05,0.0005,0.5,0.985,0.485
150,15,0.05,0.005,0.499,0.5,0.001
150,15,0.25,5.00E-06,0.5,0.587,0.087
150,15,0.25,1.00E-05,0.5,0.9,0.4
150,15,0.25,5.00E-05,0.5,1,0.5
150,15,0.25,0.0001,0.5,1,0.5
150,15,0.25,0.0005,0.5,1,0.5
150,15,0.25,0.001,0.5,1,0.5
150,15,0.25,0.005,0.5,1,0.5
150,15,0.5,1.00E-05,0.5,0.594,0.094
150,15,0.5,5.00E-05,0.5,1,0.5
150,15,0.5,0.0001,0.5,1,0.5
150,15,0.5,0.0005,0.5,1,0.5
150,15,0.5,0.001,0.5,1,0.5
150,15,0.5,0.005,0.5,1,0.5
150,15,0.75,5.00E-05,0.5,1,0.5
150,15,0.75,0.0001,0.5,1,0.5
150,15,0.75,0.0005,0.5,1,0.5
150,15,0.75,0.001,0.5,1,0.5
150,15,0.75,0.005,0.5,1,0.5
150,50,0.00025,5.00E-06,0.5,0.813,0.313
150,50,0.00025,1.00E-05,0.5,0.751666667,0.251666667
150,50,0.00025,5.00E-05,0.5,0.798,0.298
150,50,0.00025,0.0001,0.5,0.612,0.112
150,50,0.00025,0.0005,0.5,0.631,0.131
150,50,0.00025,0.001,0.5,0.513,0.013
150,50,0.00025,0.005,0.5,0.527,0.027
150,50,0.0005,5.00E-06,0.5,0.854,0.354
150,50,0.0005,1.00E-05,0.5,0.87125,0.37125
150,50,0.0005,5.00E-05,0.5,0.781,0.281
150,50,0.0005,0.0001,0.5,0.788,0.288
150,50,0.0005,0.0005,0.5,0.625,0.125
150,50,0.00075,5.00E-06,0.5,0.769,0.269
150,50,0.00075,1.00E-05,0.5,0.884,0.384
150,50,0.00075,5.00E-05,0.5,0.808,0.308
150,50,0.00075,0.0001,0.5,0.749,0.249
150,50,0.00075,0.0005,0.5,0.7,0.2
150,50,0.00075,0.001,0.5,0.599,0.099
150,50,0.0025,5.00E-06,0.5,0.671,0.171
150,50,0.0025,1.00E-05,0.5,0.936,0.436
150,50,0.0025,5.00E-05,0.5,0.947,0.447
150,50,0.0025,0.0001,0.5,0.998,0.498
150,50,0.0025,0.0005,0.5,0.7,0.2
150,50,0.0025,0.001,0.5,0.6,0.1
150,50,0.005,5.00E-06,0.5,0.782,0.282
150,50,0.005,1.00E-05,0.5,0.997,0.497
150,50,0.005,5.00E-05,0.5,0.979,0.479
150,50,0.005,0.0001,0.5,0.799,0.299
150,50,0.005,0.0005,0.5,0.6,0.1
150,50,0.0075,5.00E-06,0.5,0.8725,0.3725
150,50,0.0075,1.00E-05,0.5,0.996,0.496
150,50,0.0075,5.00E-05,0.5,0.951,0.451
150,50,0.0075,0.0001,0.5,1,0.5
150,50,0.0075,0.0005,0.5,0.6,0.1
150,50,0.025,5.00E-06,0.5,0.956,0.456
150,50,0.025,1.00E-05,0.5,0.999,0.499
150,50,0.025,5.00E-05,0.5,0.923,0.423
150,50,0.025,0.0001,0.5,0.9,0.4
150,50,0.025,0.0005,0.5,0.6,0.1
150,50,0.025,0.001,0.5,0.625,0.125
150,50,0.05,5.00E-06,0.5,0.994,0.494
150,50,0.05,5.00E-05,0.5,0.915,0.415
150,50,0.05,0.0001,0.5,1,0.5
150,50,0.05,0.0005,0.5,0.7,0.2
150,50,0.075,1.00E-06,0.5,0.587,0.087
150,50,0.075,5.00E-06,0.496,1,0.504
150,50,0.075,1.00E-05,0.495,0.992,0.497
150,50,0.075,5.00E-05,0.5,1,0.5
150,50,0.075,0.0001,0.5,0.9,0.4
