num_neur,freq,samp_num,distance,span,threshold,learning_rate,pre,post,diff
3.e+01,5.e+01,4.e+00,5.e-02,3.e+00,5.e-04,1.e-06,5.e-01,5.e-01,0.e+00
3.00e+01,5.00e+01,4.00e+00,5.00e-02,3.00e+00,2.50e-03,5.00e-06,5.00e-01,8.95e-01,3.95e-01
1.5e+02,1.5e+01,1.0e+00,5.0e-02,3.0e+00,5.0e-02,5.0e-06,5.0e-01,1.0e+00,5.0e-01
1.50e+02,1.50e+01,4.00e+00,5.00e-02,3.00e+00,7.50e-02,1.00e-06,5.15e-01,9.85e-01,4.70e-01
1.5e+02,1.5e+01,4.0e+00,5.0e-02,3.0e+00,5.0e-01,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,2.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.e+01,1.e+02,4.e+00,5.e-02,3.e+00,5.e-04,1.e-06,5.e-01,5.e-01,0.e+00
3.0e+01,1.0e+02,4.0e+00,5.0e-02,3.0e+00,2.5e-03,5.0e-06,5.0e-01,8.5e-01,3.5e-01
1.5e+02,5.0e+01,3.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,0.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-06,5.0e-01,4.9e-01,-1.0e-02
1.50e+02,1.00e+02,0.00e+00,5.00e-02,3.00e+00,7.50e-04,5.00e-06,5.00e-01,8.85e-01,3.85e-01
1.5e+02,5.0e+01,4.0e+00,5.0e-02,3.0e+00,5.0e-01,5.0e-06,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-01,5.0e-06,5.0e-01,9.9e-01,4.9e-01
3.0e+01,1.5e+01,4.0e+00,5.0e-02,3.0e+00,5.0e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.5e+01,4.0e+00,5.0e-02,3.0e+00,2.5e-03,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,5.0e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-01,5.0e-06,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,1.0e+00,5.0e-02,3.0e+00,5.0e-02,5.0e-06,5.0e-01,9.9e-01,4.9e-01
1.5e+02,5.0e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-01,5.0e-06,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.0e+02,4.0e+00,5.0e-02,3.0e+00,5.0e-01,5.0e-06,5.0e-01,6.7e-01,1.7e-01
1.5e+02,5.0e+01,4.0e+00,5.0e-02,3.0e+00,7.5e-02,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,3.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,0.0e+00,5.0e-02,3.0e+00,7.5e-04,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,4.0e+00,5.0e-02,3.0e+00,5.0e-04,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,4.0e+00,5.0e-02,3.0e+00,2.5e-03,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,0.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,5.0e+01,1.0e+00,5.0e-02,3.0e+00,5.0e-02,5.0e-06,5.0e-01,5.8e-01,8.0e-02
1.5e+02,1.0e+02,0.0e+00,5.0e-02,3.0e+00,2.5e-01,5.0e-06,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,0.0e+00,5.0e-02,3.0e+00,5.0e-03,1.0e-05,5.0e-01,5.0e-01,0.0e+00
3.00e+01,1.00e+02,4.00e+00,5.00e-02,3.00e+00,5.00e-01,1.00e-05,5.00e-01,8.65e-01,3.65e-01
5.0e+02,1.5e+01,3.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-06,5.0e-01,5.0e-01,0.0e+00
3.00e+01,1.50e+01,2.00e+00,5.00e-02,3.00e+00,5.00e-02,1.00e-05,5.00e-01,6.15e-01,1.15e-01
5.00e+02,5.00e+01,2.00e+00,5.00e-02,3.00e+00,7.50e-03,5.00e-06,5.00e-01,9.95e-01,4.95e-01
1.50e+02,5.00e+01,4.00e+00,5.00e-02,3.00e+00,2.50e-03,5.00e-06,5.00e-01,7.25e-01,2.25e-01
3.00e+01,5.00e+01,0.00e+00,5.00e-02,3.00e+00,5.00e-03,1.00e-05,5.00e-01,5.25e-01,2.50e-02
1.50e+02,1.00e+02,1.00e+00,5.00e-02,3.00e+00,7.50e-04,1.00e-05,5.00e-01,8.35e-01,3.35e-01
5.0e+02,1.5e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-01,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,3.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-05,5.0e-01,5.0e-01,0.0e+00
3.e+01,5.e+01,2.e+00,5.e-02,3.e+00,5.e-02,1.e-05,5.e-01,1.e+00,5.e-01
3.0e+01,1.5e+01,0.0e+00,5.0e-02,3.0e+00,5.0e-03,5.0e-05,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,2.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-05,5.0e-01,9.9e-01,4.9e-01
1.5e+02,1.5e+01,4.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-05,5.0e-01,7.9e-01,2.9e-01
3.e+01,5.e+01,0.e+00,5.e-02,3.e+00,5.e-03,5.e-05,5.e-01,1.e+00,5.e-01
1.50e+02,1.00e+02,4.00e+00,5.00e-02,3.00e+00,2.50e-03,5.00e-06,5.00e-01,9.95e-01,4.95e-01
1.5e+02,5.0e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-01,5.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,2.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-05,5.0e-01,1.0e+00,5.0e-01
5.00e+02,1.00e+02,1.00e+00,5.00e-02,3.00e+00,2.50e-04,5.00e-06,5.00e-01,7.25e-01,2.25e-01
1.5e+02,1.5e+01,3.0e+00,5.0e-02,3.0e+00,7.5e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
3.e+01,1.e+02,0.e+00,5.e-02,3.e+00,5.e-03,5.e-05,5.e-01,1.e+00,5.e-01
5.0e+02,1.5e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-04,5.0e-05,5.0e-01,9.4e-01,4.4e-01
1.5e+02,5.0e+01,4.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,5.0e+01,3.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,2.0e+00,5.0e-02,3.0e+00,2.5e-04,1.0e-04,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,0.0e+00,5.0e-02,3.0e+00,5.0e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,5.0e+01,3.0e+00,5.0e-02,3.0e+00,7.5e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.5e+01,2.0e+00,5.0e-02,3.0e+00,2.5e-04,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.5e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-04,1.0e-04,5.0e-01,1.0e+00,5.0e-01
1.5e+02,5.0e+01,2.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-05,5.0e-01,1.0e+00,5.0e-01
5.0e+02,5.0e+01,0.0e+00,5.0e-02,3.0e+00,2.5e-01,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,5.0e+01,0.0e+00,5.0e-02,3.0e+00,5.0e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,5.0e+01,2.0e+00,5.0e-02,3.0e+00,2.5e-04,5.0e-06,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,3.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-05,5.0e-01,9.9e-01,4.9e-01
1.50e+02,5.00e+01,2.00e+00,5.00e-02,3.00e+00,2.50e-04,1.00e-04,5.00e-01,5.05e-01,5.00e-03
1.5e+02,1.0e+02,4.0e+00,5.0e-02,3.0e+00,5.0e-01,1.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.0e+02,0.0e+00,5.0e-02,3.0e+00,2.5e-01,5.0e-05,6.8e-01,1.0e+00,3.2e-01
1.5e+02,5.0e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-04,1.0e-04,5.0e-01,5.0e-01,0.0e+00
1.5e+02,1.0e+02,2.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-05,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,2.0e+00,5.0e-02,3.0e+00,2.5e-04,5.0e-06,5.0e-01,9.5e-01,4.5e-01
1.5e+02,1.0e+02,3.0e+00,5.0e-02,3.0e+00,7.5e-03,5.0e-05,5.0e-01,5.0e-01,0.0e+00
3.e+01,5.e+01,2.e+00,5.e-02,3.e+00,5.e-02,1.e-04,5.e-01,1.e+00,5.e-01
1.5e+02,1.0e+02,0.0e+00,5.0e-02,3.0e+00,5.0e-03,5.0e-05,5.0e-01,1.0e+00,5.0e-01
1.5e+02,1.5e+01,3.0e+00,5.0e-02,3.0e+00,7.5e-03,1.0e-04,5.0e-01,1.0e+00,5.0e-01
3.e+01,5.e+01,4.e+00,5.e-02,3.e+00,5.e-01,1.e-04,5.e-01,1.e+00,5.e-01
3.0e+01,1.5e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-04,5.0e-04,5.0e-01,5.0e-01,0.0e+00
3.00e+01,1.00e+02,2.00e+00,5.00e-02,3.00e+00,5.00e-02,1.00e-04,5.00e-01,7.15e-01,2.15e-01
3.0e+01,5.0e+01,1.0e+00,5.0e-02,3.0e+00,7.5e-04,5.0e-04,5.0e-01,5.0e-01,0.0e+00
3.e+01,1.e+02,4.e+00,5.e-02,3.e+00,5.e-01,1.e-04,5.e-01,1.e+00,5.e-01
1.5e+02,1.0e+02,1.0e+00,5.0e-02,3.0e+00,7.5e-04,1.0e-04,5.0e-01,9.9e-01,4.9e-01
1.50e+02,1.00e+02,2.00e+00,5.00e-02,3.00e+00,2.50e-04,1.00e-04,5.00e-01,5.25e-01,2.50e-02
1.5e+02,1.5e+01,2.0e+00,5.0e-02,3.0e+00,5.0e-02,1.0e-04,5.0e-01,1.0e+00,5.0e-01
3.0e+01,1.0e+02,3.0e+00,5.0e-02,3.0e+00,7.5e-03,5.0e-04,5.0e-01,5.0e-01,0.0e+00
3.0e+01,1.0e+02,1.0e+00,5.0e-02,3.0e+00,7.5e-04,5.0e-04,5.0e-01,5.0e-01,0.0e+00
