num_neur,freq,distance,span,threshold,learning_rate,pre,post,diff
500.0,15.0,0.05,3.0,0.0025,0.0005,0.5,0.75,0.25
500.0,15.0,0.05,3.0,0.0025,0.005,0.5,0.593,0.093
500.0,15.0,0.05,3.0,0.005,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.005,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.005,0.001,0.5,0.8333333333333334,0.3333333333333333
500.0,15.0,0.05,3.0,0.005,0.005,0.5,0.7475,0.2475
500.0,15.0,0.05,3.0,0.0075,5e-05,0.5,0.99875,0.49875
500.0,15.0,0.05,3.0,0.0075,0.0005,0.5,0.8333333333333334,0.3333333333333333
500.0,15.0,0.05,3.0,0.0075,0.001,0.5,0.7150000000000001,0.215
500.0,15.0,0.05,3.0,0.0075,0.005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.025,5e-05,0.5,0.999,0.499
500.0,15.0,0.05,3.0,0.025,0.0005,0.5,0.9983333333333334,0.49833333333333335
500.0,15.0,0.05,3.0,0.025,0.001,0.5,0.8,0.3
500.0,15.0,0.05,3.0,0.025,0.005,0.5,0.5366666666666666,0.03666666666666667
500.0,15.0,0.05,3.0,0.05,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.05,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.05,0.0005,0.5,0.9983333333333334,0.49833333333333335
500.0,15.0,0.05,3.0,0.05,0.005,0.5,0.8333333333333334,0.3333333333333333
500.0,15.0,0.05,3.0,0.075,1e-06,0.5,0.95,0.45
500.0,15.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.075,5e-05,0.5,0.999,0.499
500.0,15.0,0.05,3.0,0.075,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.075,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.075,0.005,0.5,0.625,0.125
500.0,15.0,0.05,3.0,0.25,1e-06,0.5,0.5033333333333333,0.0033333333333333335
500.0,15.0,0.05,3.0,0.25,5e-06,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.005,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.00025,1e-05,0.5,0.745,0.245
500.0,50.0,0.05,3.0,0.00025,0.0001,0.5,0.705,0.205
500.0,50.0,0.05,3.0,0.00025,0.0005,0.5,0.545,0.045
500.0,50.0,0.05,3.0,0.00025,0.001,0.5,0.515,0.015
500.0,50.0,0.05,3.0,0.0005,1e-05,0.5,0.84,0.34
500.0,50.0,0.05,3.0,0.0005,0.0005,0.5,0.51,0.01
500.0,50.0,0.05,3.0,0.0005,0.005,0.5,0.51,0.01
500.0,50.0,0.05,3.0,0.00075,5e-06,0.5,0.8125,0.3125
500.0,50.0,0.05,3.0,0.00075,1e-05,0.5,0.7833333333333333,0.2833333333333334
500.0,50.0,0.05,3.0,0.00075,0.005,0.5,0.50875,0.00875
500.0,50.0,0.05,3.0,0.0025,0.0001,0.5,0.6716666666666667,0.17166666666666666
500.0,50.0,0.05,3.0,0.005,5e-06,0.5,0.975,0.475
500.0,50.0,0.05,3.0,0.005,5e-05,0.5,0.8333333333333334,0.3333333333333333
500.0,50.0,0.05,3.0,0.005,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.005,0.0005,0.5,0.98,0.48
500.0,50.0,0.05,3.0,0.005,0.005,0.5,0.505,0.005
500.0,50.0,0.05,3.0,0.0075,5e-06,0.5,0.9199999999999999,0.42
500.0,50.0,0.05,3.0,0.0075,5e-05,0.5,0.7375,0.2375
500.0,50.0,0.05,3.0,0.0075,0.0005,0.5,0.755,0.255
500.0,50.0,0.05,3.0,0.025,5e-05,0.5,0.9,0.4
500.0,50.0,0.05,3.0,0.025,0.0005,0.5,0.75,0.25
500.0,50.0,0.05,3.0,0.025,0.001,0.5,0.6,0.1
500.0,50.0,0.05,3.0,0.05,5e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.05,0.0005,0.5,0.6666666666666666,0.16666666666666666
500.0,50.0,0.05,3.0,0.05,0.005,0.5,0.6666666666666666,0.16666666666666666
500.0,50.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.075,5e-05,0.5,0.875,0.375
500.0,50.0,0.05,3.0,0.075,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.075,0.0005,0.5,0.71875,0.21875
500.0,50.0,0.05,3.0,0.25,5e-06,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.25,1e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.25,0.001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,1e-06,0.5,0.3266666666666667,-0.17333333333333334
500.0,50.0,0.05,3.0,0.5,5e-06,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,1e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,0.0005,0.5,0.9,0.4
500.0,50.0,0.05,3.0,0.5,0.001,0.5,0.9,0.4
500.0,50.0,0.05,3.0,0.5,0.005,0.5,0.74,0.24
500.0,50.0,0.05,3.0,0.75,5e-06,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,0.0005,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,0.001,0.5,0.6666666666666666,0.16666666666666666
500.0,50.0,0.05,3.0,0.75,0.005,0.5,0.6,0.1
500.0,100.0,0.05,3.0,0.00025,5e-06,0.5,0.725,0.225
500.0,100.0,0.05,3.0,0.00025,1e-05,0.5,0.46499999999999997,-0.035
500.0,100.0,0.05,3.0,0.00025,0.0001,0.5,0.5449999999999999,0.045000000000000005
500.0,100.0,0.05,3.0,0.0005,5e-06,0.5,0.57,0.07
500.0,100.0,0.05,3.0,0.0005,1e-05,0.5,0.6825,0.1825
500.0,100.0,0.05,3.0,0.0005,5e-05,0.5,0.575,0.075
500.0,100.0,0.05,3.0,0.00075,1e-05,0.5,0.7766666666666667,0.27666666666666667
500.0,100.0,0.05,3.0,0.0025,5e-05,0.5,0.485,-0.015
500.0,100.0,0.05,3.0,0.0025,0.0001,0.5,0.7575000000000001,0.2575
500.0,100.0,0.05,3.0,0.005,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.005,5e-05,0.5,0.7166666666666667,0.21666666666666667
500.0,100.0,0.05,3.0,0.005,0.0001,0.5,0.985,0.485
500.0,100.0,0.05,3.0,0.0075,5e-06,0.5,0.75,0.25
500.0,100.0,0.05,3.0,0.0075,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.025,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.025,1e-05,0.5,0.985,0.485
500.0,100.0,0.05,3.0,0.025,5e-05,0.5,0.8,0.3
500.0,100.0,0.05,3.0,0.05,1e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.075,5e-06,0.5,0.995,0.495
500.0,100.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.075,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.075,0.0001,0.49499999999999994,0.8333333333333334,0.3383333333333334
500.0,100.0,0.05,3.0,0.25,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.5,1e-06,0.5,0.945,0.445
500.0,100.0,0.05,3.0,0.5,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,1e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
