num_neur,freq,distance,span,threshold,learning_rate,pre,post,diff
30.0,50.0,0.05,3.0,0.0075,5e-06,0.5,0.6,0.1
30.0,50.0,0.05,3.0,0.0075,1e-05,0.5,0.9099999999999999,0.41
30.0,50.0,0.05,3.0,0.0075,5e-05,0.5,0.9,0.4
30.0,50.0,0.05,3.0,0.0075,0.0001,0.5,0.83,0.33
30.0,50.0,0.05,3.0,0.025,5e-06,0.504,0.966,0.462
30.0,50.0,0.05,3.0,0.025,1e-05,0.5,0.8625,0.3625
30.0,50.0,0.05,3.0,0.025,0.0001,0.5,0.875,0.375
30.0,50.0,0.05,3.0,0.05,1e-06,0.5,0.515,0.015000000000000003
30.0,50.0,0.05,3.0,0.05,5e-06,0.496,0.882,0.386
30.0,50.0,0.05,3.0,0.05,1e-05,0.505,0.99875,0.49375
30.0,50.0,0.05,3.0,0.05,0.0005,0.5,0.6,0.1
30.0,50.0,0.05,3.0,0.075,0.0005,0.5,0.87375,0.37375
30.0,50.0,0.05,3.0,0.25,5e-06,0.5,0.584,0.08399999999999999
30.0,50.0,0.05,3.0,0.25,1e-05,0.5,0.85625,0.35625
30.0,50.0,0.05,3.0,0.25,5e-05,0.5,0.9960000000000001,0.496
30.0,50.0,0.05,3.0,0.25,0.0001,0.5,1.0,0.5
30.0,50.0,0.05,3.0,0.25,0.0005,0.5,0.968,0.46799999999999997
30.0,50.0,0.05,3.0,0.25,0.001,0.5,0.6683333333333333,0.16833333333333333
30.0,50.0,0.05,3.0,0.25,0.005,0.5,0.625,0.125
30.0,50.0,0.05,3.0,0.5,5e-05,0.5,0.9966666666666667,0.49666666666666665
30.0,50.0,0.05,3.0,0.5,0.0001,0.5,0.9810000000000001,0.48100000000000004
30.0,50.0,0.05,3.0,0.5,0.0005,0.5,1.0,0.5
30.0,50.0,0.05,3.0,0.5,0.001,0.5,0.938,0.438
30.0,50.0,0.05,3.0,0.5,0.005,0.5,0.6,0.1
30.0,50.0,0.05,3.0,0.75,5e-05,0.5,0.99625,0.49624999999999997
30.0,50.0,0.05,3.0,0.75,0.0001,0.5,0.899,0.39899999999999997
30.0,50.0,0.05,3.0,0.75,0.0005,0.5,1.0,0.5
30.0,50.0,0.05,3.0,0.75,0.001,0.5,0.89,0.39
30.0,100.0,0.05,3.0,0.00025,5e-06,0.5,0.805,0.305
30.0,100.0,0.05,3.0,0.00025,1e-05,0.5,0.994,0.49400000000000005
30.0,100.0,0.05,3.0,0.00025,5e-05,0.5,0.6289999999999999,0.129
30.0,100.0,0.05,3.0,0.00025,0.0001,0.5,0.523,0.023
30.0,100.0,0.05,3.0,0.0005,5e-06,0.5,0.7966666666666667,0.2966666666666667
30.0,100.0,0.05,3.0,0.0005,1e-05,0.5,0.8460000000000001,0.34600000000000003
30.0,100.0,0.05,3.0,0.0005,5e-05,0.5,0.75,0.25
30.0,100.0,0.05,3.0,0.00075,5e-06,0.5,0.9880000000000001,0.488
30.0,100.0,0.05,3.0,0.00075,1e-05,0.5,0.8969999999999999,0.39699999999999996
30.0,100.0,0.05,3.0,0.00075,0.0001,0.5,0.688,0.188
30.0,100.0,0.05,3.0,0.00075,0.0005,0.5,0.512,0.012
30.0,100.0,0.05,3.0,0.0025,5e-06,0.5,0.6287499999999999,0.12874999999999998
30.0,100.0,0.05,3.0,0.0025,1e-05,0.5,0.99875,0.49875
30.0,100.0,0.05,3.0,0.0025,5e-05,0.5,0.5075000000000001,0.0075
30.0,100.0,0.05,3.0,0.005,5e-06,0.5,0.5883333333333334,0.08833333333333333
30.0,100.0,0.05,3.0,0.005,1e-05,0.5,0.9879999999999999,0.488
30.0,100.0,0.05,3.0,0.005,5e-05,0.5,0.8009999999999999,0.301
30.0,100.0,0.05,3.0,0.0075,5e-06,0.5,0.9280000000000002,0.42799999999999994
30.0,100.0,0.05,3.0,0.0075,1e-05,0.5,0.9019999999999999,0.40199999999999997
30.0,100.0,0.05,3.0,0.0075,5e-05,0.5,0.7,0.2
30.0,100.0,0.05,3.0,0.025,1e-06,0.5,0.6225,0.1225
30.0,100.0,0.05,3.0,0.025,5e-06,0.5,0.861,0.361
30.0,100.0,0.05,3.0,0.025,1e-05,0.5,0.889,0.389
30.0,100.0,0.05,3.0,0.025,5e-05,0.5,1.0,0.5
30.0,100.0,0.05,3.0,0.025,0.0001,0.5,0.8,0.3
30.0,100.0,0.05,3.0,0.05,5e-06,0.5,0.915,0.41500000000000004
30.0,100.0,0.05,3.0,0.05,5e-05,0.49800000000000005,1.0,0.502
30.0,100.0,0.05,3.0,0.05,0.0001,0.5,0.69,0.19
30.0,100.0,0.05,3.0,0.075,1e-06,0.5,0.643,0.143
30.0,100.0,0.05,3.0,0.075,5e-06,0.5,0.807,0.30700000000000005
30.0,100.0,0.05,3.0,0.075,5e-05,0.5,1.0,0.5
30.0,100.0,0.05,3.0,0.25,5e-06,0.5,0.779,0.279
30.0,100.0,0.05,3.0,0.25,1e-05,0.5,0.9359999999999999,0.43599999999999994
30.0,100.0,0.05,3.0,0.25,5e-05,0.5,0.909,0.409
30.0,100.0,0.05,3.0,0.25,0.0001,0.5,0.899,0.399
