,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,5e-05,16.6,16.6,"(1, 3)",4.760241885741346e-05,200,6,20,1,0.5,0.92,0.42000000000000004,00:02:24.210740089416504
1,500,15,30,0.025,5e-05,14.933333333333334,14.933333333333334,"(1, 3)",4.001826146977553e-05,200,6,20,1,0.5933333333333334,0.7866666666666666,0.19333333333333325,00:01:37.46400332450867
2,500,15,30,0.025,5e-05,16.333333333333332,16.333333333333332,"(1, 3)",3.928795547154257e-05,200,6,20,1,0.6533333333333333,0.7733333333333333,0.12,00:01:30.2159104347229
3,500,15,30,0.025,5e-05,14.466666666666667,14.466666666666667,"(1, 3)",1.650678482866471e-05,200,6,20,1,0.5,0.9133333333333333,0.41333333333333333,00:02:2.614809989929199
4,500,15,30,0.025,5e-05,16.4,16.4,"(1, 3)",3.461833017795987e-05,200,6,20,1,0.5,0.8066666666666666,0.30666666666666664,00:02:9.350066423416138
5,500,15,30,0.025,5e-05,16.4,16.4,"(1, 3)",4.5921628525415006e-05,200,6,20,1,0.42,0.7333333333333333,0.3133333333333333,00:02:15.362138032913208
6,500,15,30,0.025,5e-05,15.266666666666667,15.266666666666667,"(1, 3)",3.533155570850695e-05,200,6,20,1,0.7333333333333333,0.8866666666666667,0.15333333333333343,00:01:23.534517765045166
7,500,15,30,0.025,5e-05,14.2,14.2,"(1, 3)",1.3890150804251088e-05,200,6,20,1,0.5533333333333333,0.6733333333333333,0.12,00:01:51.52035737037659
8,500,15,30,0.025,5e-05,14.133333333333333,14.133333333333333,"(1, 3)",3.010874190615397e-05,200,6,20,1,0.49333333333333335,0.8066666666666666,0.3133333333333333,00:01:37.82694149017334
9,500,15,30,0.025,5e-05,14.866666666666667,14.866666666666667,"(1, 3)",2.0562124053958682e-05,200,6,20,1,0.5,0.68,0.18000000000000005,00:02:18.040958166122437
10,500,15,30,0.025,5e-05,15.4,15.4,"(1, 3)",3.052662256315821e-05,200,6,20,1,0.44666666666666666,0.58,0.1333333333333333,00:02:0.381939172744751
11,500,15,30,0.025,5e-05,14.866666666666667,14.866666666666667,"(1, 3)",3.528317290732271e-05,200,6,20,1,0.5733333333333334,0.6866666666666666,0.11333333333333329,00:01:56.067530393600464
12,500,15,30,0.025,5e-05,15.2,15.2,"(1, 3)",2.457420979240887e-05,200,6,20,1,0.5933333333333334,0.64,0.046666666666666634,00:01:52.91116523742676
13,500,15,30,0.025,5e-05,14.466666666666667,14.466666666666667,"(1, 3)",1.9423751465308372e-05,200,6,20,1,0.5066666666666667,0.6266666666666667,0.12,00:02:2.753312587738037
14,500,15,30,0.025,5e-05,16.866666666666667,16.866666666666667,"(1, 3)",2.45338769457752e-05,200,6,20,1,0.5133333333333333,0.72,0.20666666666666667,00:01:46.307210206985474
15,500,15,30,0.025,5e-05,17.6,17.6,"(1, 3)",3.0044351502481594e-05,200,6,20,1,0.5,0.84,0.33999999999999997,00:01:55.746201038360596
16,500,15,30,0.025,5e-05,14.533333333333333,14.533333333333333,"(1, 3)",1.5714865746888735e-05,200,6,20,1,0.5,0.72,0.21999999999999997,00:01:11.591838359832764
17,500,15,30,0.025,5e-05,15.133333333333333,15.133333333333333,"(1, 3)",2.0387962186060397e-05,200,6,20,1,0.6066666666666667,0.7133333333333334,0.10666666666666669,00:01:27.75392460823059
18,500,15,30,0.025,5e-05,14.933333333333334,14.933333333333334,"(1, 3)",2.5942194363689653e-05,200,6,20,1,0.48,0.58,0.09999999999999998,00:01:46.964951515197754
19,500,15,30,0.025,5e-05,16.466666666666665,16.466666666666665,"(1, 3)",3.1511792451130754e-05,200,6,20,1,0.3933333333333333,0.6733333333333333,0.28,00:01:54.16957688331604
20,500,15,30,0.025,5e-05,14.333333333333334,14.333333333333334,"(1, 3)",3.0041852012319674e-05,200,6,20,1,0.4866666666666667,0.7066666666666667,0.21999999999999997,00:01:54.24043679237366
21,500,15,30,0.025,5e-05,14.666666666666666,14.666666666666666,"(1, 3)",2.3761547210358025e-05,200,6,20,1,0.5,0.7133333333333334,0.21333333333333337,00:01:54.52932405471802
22,500,15,30,0.025,5e-05,16.266666666666666,16.266666666666666,"(1, 3)",2.862722497459282e-05,200,6,20,1,0.5,0.7933333333333333,0.29333333333333333,00:02:7.765032768249512
23,500,15,30,0.025,5e-05,15.333333333333334,15.333333333333334,"(1, 3)",2.7241498487551464e-05,200,6,20,1,0.4066666666666667,0.7266666666666667,0.32,00:02:1.1074209213256836
24,500,15,30,0.025,5e-05,16.466666666666665,16.466666666666665,"(1, 3)",2.0948911883188246e-05,200,6,20,1,0.8066666666666666,0.98,0.17333333333333334,00:01:32.49715876579285
25,500,15,30,0.025,5e-05,14.8,14.8,"(1, 3)",4.4336168805476186e-05,200,6,20,1,0.5133333333333333,0.54,0.026666666666666727,00:02:5.274460315704346
26,500,15,30,0.025,5e-05,15.333333333333334,15.333333333333334,"(1, 3)",3.6391132643501005e-05,200,6,20,1,0.37333333333333335,0.7333333333333333,0.35999999999999993,00:01:49.67336821556091
27,500,15,30,0.025,5e-05,14.933333333333334,14.933333333333334,"(1, 3)",3.5431040135529333e-05,200,6,20,1,0.49333333333333335,0.6866666666666666,0.1933333333333333,00:01:31.793946027755737
28,500,15,30,0.025,5e-05,16.0,16.0,"(1, 3)",4.526777116724053e-05,200,6,20,1,0.5266666666666666,0.92,0.3933333333333334,00:01:11.586631298065186
29,500,15,30,0.025,5e-05,14.6,14.6,"(1, 3)",4.819912914628642e-05,200,6,20,1,0.5,0.8133333333333334,0.31333333333333335,00:02:2.7850914001464844
