,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.025,5e-05,95.86666666666666,95.86666666666666,"(7, 9)",0.00023110075104795154,200,9,20,1,0.5,0.9666666666666667,0.4666666666666667,00:02:45.91312313079834
1,500,100,30,0.025,5e-05,100.13333333333334,100.13333333333334,"(7, 9)",0.00025002825733577347,200,9,20,1,0.5,1.0,0.5,00:02:30.081135988235474
2,500,100,30,0.025,5e-05,98.4,98.4,"(7, 9)",0.000268159357826088,200,9,20,1,0.7666666666666667,0.9933333333333333,0.22666666666666657,00:01:42.52225947380066
3,500,100,30,0.025,5e-05,97.86666666666666,97.86666666666666,"(7, 9)",0.0002958670337375539,200,9,20,1,0.5,0.96,0.45999999999999996,00:01:40.891820669174194
4,500,100,30,0.025,5e-05,100.13333333333334,100.13333333333334,"(7, 9)",0.0002894788920095766,200,9,20,1,0.5,0.9533333333333334,0.45333333333333337,00:01:55.217140436172485
5,500,100,30,0.025,5e-05,98.26666666666667,98.26666666666667,"(7, 9)",0.0002344556683663377,200,9,20,1,0.5,0.8866666666666667,0.3866666666666667,00:01:56.96447014808655
6,500,100,30,0.025,5e-05,98.46666666666667,98.46666666666667,"(7, 9)",0.0003218934603001225,200,9,20,1,0.5,0.9866666666666667,0.4866666666666667,00:02:10.268203973770142
7,500,100,30,0.025,5e-05,101.33333333333333,101.33333333333333,"(7, 9)",0.00021159962167064953,200,9,20,1,0.5,0.9933333333333333,0.4933333333333333,00:02:14.275930166244507
8,500,100,30,0.025,5e-05,96.6,96.6,"(7, 9)",0.00026365134658082665,200,9,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:32.904279470443726
9,500,100,30,0.025,5e-05,100.13333333333334,100.13333333333334,"(7, 9)",0.0002658457490150575,200,9,20,1,0.5,0.9533333333333334,0.45333333333333337,00:02:16.54039454460144
10,500,100,30,0.025,5e-05,98.8,98.8,"(7, 9)",0.00026241173466439317,200,9,20,1,0.5,0.98,0.48,00:02:19.425504446029663
11,500,100,30,0.025,5e-05,100.26666666666667,100.26666666666667,"(7, 9)",0.0002958012156383225,200,9,20,1,0.5,1.0,0.5,00:02:0.8025143146514893
12,500,100,30,0.025,5e-05,100.4,100.4,"(7, 9)",0.0002789754414139817,200,9,20,1,0.5,1.0,0.5,00:01:36.36119055747986
13,500,100,30,0.025,5e-05,104.13333333333334,104.13333333333334,"(7, 9)",0.0003241035039375278,200,9,20,1,0.5,0.9466666666666667,0.44666666666666666,00:02:2.677016258239746
14,500,100,30,0.025,5e-05,95.33333333333333,95.33333333333333,"(7, 9)",0.0002812242241954081,200,9,20,1,0.5,0.9866666666666667,0.4866666666666667,00:02:30.080625295639038
15,500,100,30,0.025,5e-05,99.06666666666666,99.06666666666666,"(7, 9)",0.0002643790702344434,200,9,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:56.654353857040405
16,500,100,30,0.025,5e-05,103.13333333333334,103.13333333333334,"(7, 9)",0.00028274796401589263,200,9,20,1,0.5,0.9866666666666667,0.4866666666666667,00:02:21.946117162704468
17,500,100,30,0.025,5e-05,97.4,97.4,"(7, 9)",0.00028566147761712693,200,9,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:39.12660050392151
18,500,100,30,0.025,5e-05,101.46666666666667,101.46666666666667,"(7, 9)",0.00024352018646050768,200,9,20,1,0.7533333333333333,0.9733333333333334,0.22000000000000008,00:01:39.8401939868927
19,500,100,30,0.025,5e-05,100.86666666666666,100.86666666666666,"(7, 9)",0.00027324665934775754,200,9,20,1,0.5,1.0,0.5,00:02:1.2251396179199219
20,500,100,30,0.025,5e-05,99.13333333333334,99.13333333333334,"(7, 9)",0.00023478183263458036,200,9,20,1,0.54,0.8066666666666666,0.2666666666666666,00:02:13.084136009216309
21,500,100,30,0.025,5e-05,99.06666666666666,99.06666666666666,"(7, 9)",0.00031345941421014436,200,9,20,1,0.46,1.0,0.54,00:02:2.608635902404785
22,500,100,30,0.025,5e-05,105.6,105.6,"(7, 9)",0.00032028538160646584,200,9,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:45.12328505516052
23,500,100,30,0.025,5e-05,102.4,102.4,"(7, 9)",0.00030980798989355834,200,9,20,1,0.5,1.0,0.5,00:01:48.566375970840454
24,500,100,30,0.025,5e-05,105.33333333333333,105.33333333333333,"(7, 9)",0.00027685273674491845,200,9,20,1,0.5,0.9933333333333333,0.4933333333333333,00:02:8.114935398101807
25,500,100,30,0.025,5e-05,99.93333333333334,99.93333333333334,"(7, 9)",0.00022583200254025,200,9,20,1,0.5,0.9866666666666667,0.4866666666666667,00:02:0.6664650440216064
26,500,100,30,0.025,5e-05,100.73333333333333,100.73333333333333,"(7, 9)",0.000310343764451519,200,9,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:47.358251333236694
27,500,100,30,0.025,5e-05,101.6,101.6,"(7, 9)",0.0002807857750240602,200,9,20,1,0.17333333333333334,0.7,0.5266666666666666,00:02:50.93205642700195
28,500,100,30,0.025,5e-05,100.4,100.4,"(7, 9)",0.00028975583432022233,200,9,20,1,0.5,1.0,0.5,00:02:8.452548503875732
29,500,100,30,0.025,5e-05,100.8,100.8,"(7, 9)",0.00027823853419732455,200,9,20,1,0.5,1.0,0.5,00:01:45.732014656066895
