,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.025,5e-05,100.73333333333333,100.73333333333333,"(7, 9)",0.00026643188378800873,200,6,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:34.193856716156006
1,500,100,30,0.025,5e-05,95.93333333333334,95.93333333333334,"(7, 9)",0.0002636965423221983,200,6,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:32.585659980773926
2,500,100,30,0.025,5e-05,98.6,98.6,"(7, 9)",0.0002680575233070894,200,6,20,1,0.5,1.0,0.5,00:02:10.24022126197815
3,500,100,30,0.025,5e-05,100.53333333333333,100.53333333333333,"(7, 9)",0.00027441641117001604,200,6,20,1,0.5,0.64,0.14,00:02:5.286300420761108
4,500,100,30,0.025,5e-05,99.26666666666667,99.26666666666667,"(7, 9)",0.00029234905740502286,200,6,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:10.259489059448242
5,500,100,30,0.025,5e-05,100.73333333333333,100.73333333333333,"(7, 9)",0.00025741594737709354,200,6,20,1,0.5,1.0,0.5,00:01:31.538411855697632
6,500,100,30,0.025,5e-05,102.73333333333333,102.73333333333333,"(7, 9)",0.0002887001922292996,200,6,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:36.08297061920166
7,500,100,30,0.025,5e-05,104.0,104.0,"(7, 9)",0.00026082474381394717,200,6,20,1,0.5,0.9866666666666667,0.4866666666666667,00:02:7.9901978969573975
8,500,100,30,0.025,5e-05,99.86666666666666,99.86666666666666,"(7, 9)",0.0002313409766640118,200,6,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:39.95433211326599
9,500,100,30,0.025,5e-05,101.66666666666667,101.66666666666667,"(7, 9)",0.0002777561342516917,200,6,20,1,0.5,1.0,0.5,00:01:18.36998438835144
10,500,100,30,0.025,5e-05,102.46666666666667,102.46666666666667,"(7, 9)",0.00030040031365911765,200,6,20,1,0.5,0.94,0.43999999999999995,00:01:23.42755436897278
11,500,100,30,0.025,5e-05,99.8,99.8,"(7, 9)",0.00028215205572613506,200,6,20,1,0.4866666666666667,1.0,0.5133333333333333,00:02:2.5995490550994873
12,500,100,30,0.025,5e-05,101.53333333333333,101.53333333333333,"(7, 9)",0.0002550361597625355,200,6,20,1,0.5,1.0,0.5,00:01:44.80510330200195
13,500,100,30,0.025,5e-05,100.06666666666666,100.06666666666666,"(7, 9)",0.00031185318426838593,200,6,20,1,0.5,1.0,0.5,00:01:31.117743968963623
14,500,100,30,0.025,5e-05,101.93333333333334,101.93333333333334,"(7, 9)",0.00025223584194221355,200,6,20,1,0.3466666666666667,1.0,0.6533333333333333,00:01:44.76919627189636
15,500,100,30,0.025,5e-05,100.26666666666667,100.26666666666667,"(7, 9)",0.00034101777924250287,200,6,20,1,0.5,0.8866666666666667,0.3866666666666667,00:01:45.82120680809021
16,500,100,30,0.025,5e-05,101.0,101.0,"(7, 9)",0.0003049207991541607,200,6,20,1,0.5,1.0,0.5,00:01:24.95980954170227
17,500,100,30,0.025,5e-05,101.0,101.0,"(7, 9)",0.0003260584871340543,200,6,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:56.380900621414185
18,500,100,30,0.025,5e-05,99.53333333333333,99.53333333333333,"(7, 9)",0.000333568111246755,200,6,20,1,0.5,1.0,0.5,00:01:12.682636499404907
19,500,100,30,0.025,5e-05,101.33333333333333,101.33333333333333,"(7, 9)",0.0002620301217086015,200,6,20,1,0.5,1.0,0.5,00:02:36.1942572593689
20,500,100,30,0.025,5e-05,97.46666666666667,97.46666666666667,"(7, 9)",0.0003022826880098972,200,6,20,1,0.38,1.0,0.62,00:01:41.61639380455017
21,500,100,30,0.025,5e-05,104.2,104.2,"(7, 9)",0.0002981757606512408,200,6,20,1,0.5,0.96,0.45999999999999996,00:01:49.74465346336365
22,500,100,30,0.025,5e-05,97.53333333333333,97.53333333333333,"(7, 9)",0.00030073011815075397,200,6,20,1,0.5,1.0,0.5,00:01:39.27452087402344
23,500,100,30,0.025,5e-05,99.6,99.6,"(7, 9)",0.00031054973321120586,200,6,20,1,0.5,0.9933333333333333,0.4933333333333333,00:01:39.72903108596802
24,500,100,30,0.025,5e-05,104.4,104.4,"(7, 9)",0.0002829139828050037,200,6,20,1,0.36,0.9933333333333333,0.6333333333333333,00:01:34.0789361000061
25,500,100,30,0.025,5e-05,99.2,99.2,"(7, 9)",0.000295797272260794,200,6,20,1,0.44,0.92,0.48000000000000004,00:01:44.74843120574951
26,500,100,30,0.025,5e-05,102.4,102.4,"(7, 9)",0.0002588744548393729,200,6,20,1,0.5,0.5333333333333333,0.033333333333333326,00:01:33.40803503990173
27,500,100,30,0.025,5e-05,96.4,96.4,"(7, 9)",0.00025366337073767315,200,6,20,1,0.5,1.0,0.5,00:02:8.377192497253418
28,500,100,30,0.025,5e-05,98.06666666666666,98.06666666666666,"(7, 9)",0.00031825154255551573,200,6,20,1,0.5,0.98,0.48,00:01:50.41077184677124
29,500,100,30,0.025,5e-05,102.13333333333334,102.13333333333334,"(7, 9)",0.000291247839219909,200,6,20,1,0.42,0.5133333333333333,0.09333333333333332,00:01:37.51733207702637
