,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,5e-05,15.4,15.4,"(5, 7)",4.397941041155865e-05,200,3,20,1,0.4866666666666667,0.74,0.2533333333333333,00:02:1.6257975101470947
1,500,15,30,0.025,5e-05,16.066666666666666,16.066666666666666,"(5, 7)",6.393927509203486e-05,200,3,20,1,0.5,0.8333333333333334,0.33333333333333337,00:02:8.892171859741211
2,500,15,30,0.025,5e-05,14.533333333333333,14.533333333333333,"(5, 7)",0.00014245923662577304,200,3,20,1,0.54,0.84,0.29999999999999993,00:01:58.047011852264404
3,500,15,30,0.025,5e-05,14.666666666666666,14.666666666666666,"(5, 7)",0.00010906810940696728,200,3,20,1,0.32,0.7933333333333333,0.47333333333333333,00:02:2.1177783012390137
4,500,15,30,0.025,5e-05,14.333333333333334,14.333333333333334,"(5, 7)",7.362579687659523e-05,200,3,20,1,0.49333333333333335,0.8866666666666667,0.39333333333333337,00:01:55.32929992675781
5,500,15,30,0.025,5e-05,16.6,16.6,"(5, 7)",0.00010212702348240522,200,3,20,1,0.5066666666666667,0.9266666666666666,0.41999999999999993,00:01:58.11135721206665
6,500,15,30,0.025,5e-05,15.6,15.6,"(5, 7)",4.930784630765753e-05,200,3,20,1,0.4866666666666667,0.8133333333333334,0.32666666666666666,00:01:40.899078369140625
7,500,15,30,0.025,5e-05,15.6,15.6,"(5, 7)",6.051067941903299e-05,200,3,20,1,0.5,0.76,0.26,00:01:48.88387989997864
8,500,15,30,0.025,5e-05,15.333333333333334,15.333333333333334,"(5, 7)",6.0584631200564745e-05,200,3,20,1,0.5,0.78,0.28,00:01:46.76830554008484
9,500,15,30,0.025,5e-05,17.733333333333334,17.733333333333334,"(5, 7)",8.222996012797584e-05,200,3,20,1,0.6666666666666666,0.9533333333333334,0.28666666666666674,00:01:5.2861857414245605
10,500,15,30,0.025,5e-05,14.066666666666666,14.066666666666666,"(5, 7)",8.0497638088069e-05,200,3,20,1,0.5866666666666667,0.9133333333333333,0.32666666666666666,00:01:49.26258444786072
11,500,15,30,0.025,5e-05,14.733333333333333,14.733333333333333,"(5, 7)",0.0001133737187919098,200,3,20,1,0.4866666666666667,0.7266666666666667,0.24,00:02:5.138222932815552
12,500,15,30,0.025,5e-05,14.6,14.6,"(5, 7)",8.235069674187257e-05,200,3,20,1,0.35333333333333333,0.6733333333333333,0.32,00:01:33.875622034072876
13,500,15,30,0.025,5e-05,15.266666666666667,15.266666666666667,"(5, 7)",7.373424445405431e-05,200,3,20,1,0.41333333333333333,0.8133333333333334,0.4,00:01:57.16453433036804
14,500,15,30,0.025,5e-05,12.933333333333334,12.933333333333334,"(5, 7)",7.331180507563096e-05,200,3,20,1,0.37333333333333335,0.8533333333333334,0.48000000000000004,00:01:52.824740409851074
15,500,15,30,0.025,5e-05,15.0,15.0,"(5, 7)",9.958140167063872e-05,200,3,20,1,0.5,0.7,0.19999999999999996,00:01:51.98456692695618
16,500,15,30,0.025,5e-05,14.666666666666666,14.666666666666666,"(5, 7)",9.837018779092502e-05,200,3,20,1,0.4866666666666667,0.5466666666666666,0.05999999999999994,00:01:58.149086236953735
17,500,15,30,0.025,5e-05,16.0,16.0,"(5, 7)",8.194617087677487e-05,200,3,20,1,0.5866666666666667,0.7866666666666666,0.19999999999999996,00:02:4.107895135879517
18,500,15,30,0.025,5e-05,13.8,13.8,"(5, 7)",8.028151078634169e-05,200,3,20,1,0.6333333333333333,0.7866666666666666,0.15333333333333332,00:01:21.563801765441895
19,500,15,30,0.025,5e-05,16.0,16.0,"(5, 7)",8.988886417856003e-05,200,3,20,1,0.5,0.9,0.4,00:01:41.43714380264282
20,500,15,30,0.025,5e-05,14.666666666666666,14.666666666666666,"(5, 7)",7.329362533955521e-05,200,3,20,1,0.48,0.7133333333333334,0.2333333333333334,00:02:1.50203275680542
21,500,15,30,0.025,5e-05,15.4,15.4,"(5, 7)",0.00010224186471133429,200,3,20,1,0.42,0.88,0.46,00:01:47.75750422477722
22,500,15,30,0.025,5e-05,14.133333333333333,14.133333333333333,"(5, 7)",0.0001309984598560817,200,3,20,1,0.4266666666666667,0.5066666666666667,0.08000000000000002,00:01:55.1885290145874
23,500,15,30,0.025,5e-05,15.933333333333334,15.933333333333334,"(5, 7)",7.203434174806871e-05,200,3,20,1,0.52,0.8933333333333333,0.3733333333333333,00:01:4.3441362380981445
24,500,15,30,0.025,5e-05,16.666666666666668,16.666666666666668,"(5, 7)",0.00010400189183199581,200,3,20,1,0.6133333333333333,0.9133333333333333,0.30000000000000004,00:01:2.9167373180389404
25,500,15,30,0.025,5e-05,15.2,15.2,"(5, 7)",6.788268411391858e-05,200,3,20,1,0.5066666666666667,0.76,0.2533333333333333,00:01:46.15033459663391
26,500,15,30,0.025,5e-05,15.0,15.0,"(5, 7)",7.528872268706427e-05,200,3,20,1,0.62,0.8666666666666667,0.2466666666666667,00:01:1.4320399761199951
27,500,15,30,0.025,5e-05,14.533333333333333,14.533333333333333,"(5, 7)",7.593688991113306e-05,200,3,20,1,0.47333333333333333,0.7666666666666667,0.2933333333333334,00:01:58.10680174827576
28,500,15,30,0.025,5e-05,16.533333333333335,16.533333333333335,"(5, 7)",6.733548037045338e-05,200,3,20,1,0.4066666666666667,0.6333333333333333,0.22666666666666663,00:01:52.05425691604614
29,500,15,30,0.025,5e-05,14.266666666666667,14.266666666666667,"(5, 7)",9.4163410696369e-05,200,3,20,1,0.47333333333333333,0.5933333333333334,0.12000000000000005,00:01:47.9306435585022
