,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.005,0.0001,16.133333333333333,16.133333333333333,"(1, 3)",4.34652565850094e-05,200,5,20,1,0.5,0.6733333333333333,0.17333333333333334
1,500,15,30,0.005,0.0001,16.733333333333334,16.733333333333334,"(1, 3)",5.1991665386768434e-05,200,5,20,1,0.5,0.6533333333333333,0.15333333333333332
2,500,15,30,0.005,0.0001,15.8,15.8,"(1, 3)",3.214956374600447e-05,200,5,20,1,0.5,0.74,0.24
3,500,15,30,0.005,0.0001,15.333333333333334,15.333333333333334,"(1, 3)",3.057480198370594e-05,200,5,20,1,0.5,0.5133333333333333,0.013333333333333308
4,500,15,30,0.005,0.0001,13.866666666666667,13.866666666666667,"(1, 3)",3.062481216400684e-05,200,5,20,1,0.5,0.78,0.28
5,500,15,30,0.005,0.0001,14.266666666666667,14.266666666666667,"(1, 3)",2.9352458280125206e-05,200,5,20,1,0.5,0.4066666666666667,-0.09333333333333332
6,500,15,30,0.005,0.0001,14.266666666666667,14.266666666666667,"(1, 3)",3.756317398515866e-05,200,5,20,1,0.5,0.76,0.26
7,500,15,30,0.005,0.0001,14.133333333333333,14.133333333333333,"(1, 3)",4.075927771369129e-05,200,5,20,1,0.5,0.5066666666666667,0.00666666666666671
8,500,15,30,0.005,0.0001,14.8,14.8,"(1, 3)",3.878955193982381e-05,200,5,20,1,0.5,0.5066666666666667,0.00666666666666671
9,500,15,30,0.005,0.0001,14.2,14.2,"(1, 3)",1.804038141803785e-05,200,5,20,1,0.5,0.5533333333333333,0.053333333333333344
