,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.05,0.001,16.466666666666665,16.466666666666665,"(1, 3)",4.3015142458644396e-05,200,5,20,1,0.5,0.5,0.0
1,500,15,30,0.05,0.001,15.6,15.6,"(1, 3)",5.2798455952847674e-05,200,5,20,1,0.5,0.5,0.0
2,500,15,30,0.05,0.001,14.933333333333334,14.933333333333334,"(1, 3)",2.255957503171288e-05,200,5,20,1,0.5,0.5,0.0
3,500,15,30,0.05,0.001,15.2,15.2,"(1, 3)",3.337246477024666e-05,200,5,20,1,0.5,0.5,0.0
4,500,15,30,0.05,0.001,14.533333333333333,14.533333333333333,"(1, 3)",2.630606604406705e-05,200,5,20,1,0.5,0.6133333333333333,0.11333333333333329
5,500,15,30,0.05,0.001,13.0,13.0,"(1, 3)",1.4466532150237723e-05,200,5,20,1,0.5,0.54,0.040000000000000036
6,500,15,30,0.05,0.001,13.2,13.2,"(1, 3)",2.3755750040223223e-05,200,5,20,1,0.5,0.5,0.0
7,500,15,30,0.05,0.001,15.6,15.6,"(1, 3)",3.2126725925000684e-05,200,5,20,1,0.5,0.5,0.0
8,500,15,30,0.05,0.001,15.4,15.4,"(1, 3)",5.048587832698769e-05,200,5,20,1,0.5066666666666667,0.5066666666666667,0.0
9,500,15,30,0.05,0.001,12.2,12.2,"(1, 3)",3.119582072927924e-05,200,5,20,1,0.5,0.5,0.0
