,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.025,0.001,13.666666666666666,13.666666666666666,"(1, 3)",2.161449229489258e-05,200,5,20,1,0.5,0.5,0.0
1,500,15,30,0.025,0.001,13.933333333333334,13.933333333333334,"(1, 3)",2.66926540341179e-05,200,5,20,1,0.44666666666666666,0.44,-0.006666666666666654
2,500,15,30,0.025,0.001,14.0,14.0,"(1, 3)",3.4949866826878946e-05,200,5,20,1,0.18,0.48,0.3
3,500,15,30,0.025,0.001,15.533333333333333,15.533333333333333,"(1, 3)",3.575254548062892e-05,200,5,20,1,0.5066666666666667,0.8333333333333334,0.32666666666666666
4,500,15,30,0.025,0.001,15.266666666666667,15.266666666666667,"(1, 3)",4.3183493801162906e-05,200,5,20,1,0.38666666666666666,0.5,0.11333333333333334
5,500,15,30,0.025,0.001,13.133333333333333,13.133333333333333,"(1, 3)",3.2742160547180286e-05,200,5,20,1,0.48,0.5,0.020000000000000018
6,500,15,30,0.025,0.001,15.066666666666666,15.066666666666666,"(1, 3)",2.468243920904901e-05,200,5,20,1,0.5,0.5,0.0
7,500,15,30,0.025,0.001,14.733333333333333,14.733333333333333,"(1, 3)",2.3285461486290572e-05,200,5,20,1,0.44,0.5,0.06
8,500,15,30,0.025,0.001,14.933333333333334,14.933333333333334,"(1, 3)",2.2131206614780473e-05,200,5,20,1,0.5,0.4666666666666667,-0.033333333333333326
9,500,15,30,0.025,0.001,16.266666666666666,16.266666666666666,"(1, 3)",2.683414793735182e-05,200,5,20,1,0.6133333333333333,0.5,-0.11333333333333329
