,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,0.0005,14.933333333333334,14.933333333333334,"(1, 3)",3.7305781331920004e-05,200,5,20,1,0.5333333333333333,0.5133333333333333,-0.020000000000000018,00:01:1.3410780429840088
1,500,15,30,0.025,0.0005,15.533333333333333,15.533333333333333,"(1, 3)",3.066125878996695e-05,200,5,20,1,0.4866666666666667,0.8333333333333334,0.3466666666666667,00:01:3.0354740619659424
2,500,15,30,0.025,0.0005,16.8,16.8,"(1, 3)",2.5695159005840765e-05,200,5,20,1,0.43333333333333335,0.5933333333333334,0.16000000000000003,00:01:4.426284313201904
3,500,15,30,0.025,0.0005,15.466666666666667,15.466666666666667,"(1, 3)",4.5240393704675835e-05,200,5,20,1,0.5066666666666667,0.5,-0.00666666666666671,00:01:0.2506859302520752
4,500,15,30,0.025,0.0005,15.466666666666667,15.466666666666667,"(1, 3)",1.1527328547270575e-05,200,5,20,1,0.49333333333333335,0.5,0.006666666666666654,00:01:3.4295902252197266
5,500,15,30,0.025,0.0005,15.333333333333334,15.333333333333334,"(1, 3)",4.863313629489682e-05,200,5,20,1,0.5,0.9466666666666667,0.44666666666666666,00:00:54.72760558128357
6,500,15,30,0.025,0.0005,13.733333333333333,13.733333333333333,"(1, 3)",2.8056055213869088e-05,200,5,20,1,0.6466666666666666,0.5133333333333333,-0.1333333333333333,00:01:1.8739521503448486
7,500,15,30,0.025,0.0005,15.266666666666667,15.266666666666667,"(1, 3)",2.5563104116169275e-05,200,5,20,1,0.5,0.5,0.0,00:01:2.8979995250701904
8,500,15,30,0.025,0.0005,15.8,15.8,"(1, 3)",1.092260796732301e-05,200,5,20,1,0.44,0.8933333333333333,0.4533333333333333,00:00:55.591445207595825
9,500,15,30,0.025,0.0005,14.8,14.8,"(1, 3)",3.2271796401767826e-05,200,5,20,1,0.21333333333333335,0.7933333333333333,0.58,00:00:55.03283429145813
