,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.25,0.0005,15.066666666666666,15.066666666666666,"(1, 3)",5.189282793017099e-05,200,5,20,1,0.5,0.92,0.42000000000000004,00:01:0.8373818397521973
1,500,15,30,0.25,0.0005,15.2,15.2,"(1, 3)",2.6310787168056e-05,200,5,20,1,0.5,0.9466666666666667,0.44666666666666666,00:00:47.1405508518219
2,500,15,30,0.25,0.0005,15.6,15.6,"(1, 3)",5.536956894053287e-05,200,5,20,1,0.5,0.5933333333333334,0.09333333333333338,00:01:12.475411653518677
3,500,15,30,0.25,0.0005,14.6,14.6,"(1, 3)",6.1149611689842816e-06,200,5,20,1,0.5,0.5866666666666667,0.08666666666666667,00:01:11.443172931671143
4,500,15,30,0.25,0.0005,15.4,15.4,"(1, 3)",2.704058653408258e-05,200,5,20,1,0.5,0.8933333333333333,0.3933333333333333,00:00:33.33382797241211
5,500,15,30,0.25,0.0005,14.933333333333334,14.933333333333334,"(1, 3)",3.528089190041263e-05,200,5,20,1,0.5,0.8266666666666667,0.32666666666666666,00:00:58.874674797058105
6,500,15,30,0.25,0.0005,14.066666666666666,14.066666666666666,"(1, 3)",2.0853046284817747e-05,200,5,20,1,0.5,0.5133333333333333,0.013333333333333308,00:00:31.496710538864136
7,500,15,30,0.25,0.0005,14.133333333333333,14.133333333333333,"(1, 3)",4.6045572183509114e-05,200,5,20,1,0.5,0.7933333333333333,0.29333333333333333,00:00:50.14543700218201
8,500,15,30,0.25,0.0005,15.4,15.4,"(1, 3)",4.080837001587024e-05,200,5,20,1,0.5,0.9,0.4,00:00:44.61868357658386
9,500,15,30,0.25,0.0005,13.8,13.8,"(1, 3)",3.786408038429386e-05,200,5,20,1,0.5,0.5066666666666667,0.00666666666666671,00:01:1.7391252517700195
