,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,5e-05,15.0,15.0,"(3, 5)",7.370542862186132e-05,200,3,20,1,0.36,0.6733333333333333,0.31333333333333335,00:02:0.8871350288391113
1,500,15,30,0.025,5e-05,14.6,14.6,"(3, 5)",3.44670961812345e-05,200,3,20,1,0.4666666666666667,0.8666666666666667,0.4,00:00:56.54467225074768
2,500,15,30,0.025,5e-05,14.733333333333333,14.733333333333333,"(3, 5)",4.96353635795052e-05,200,3,20,1,0.5066666666666667,0.7933333333333333,0.2866666666666666,00:01:15.234972953796387
3,500,15,30,0.025,5e-05,15.133333333333333,15.133333333333333,"(3, 5)",7.98980950532863e-05,200,3,20,1,0.42,0.7133333333333334,0.2933333333333334,00:01:57.135135650634766
4,500,15,30,0.025,5e-05,13.866666666666667,13.866666666666667,"(3, 5)",4.723045529024794e-05,200,3,20,1,0.5,0.6666666666666666,0.16666666666666663,00:01:56.657745599746704
5,500,15,30,0.025,5e-05,16.333333333333332,16.333333333333332,"(3, 5)",5.278118409505836e-05,200,3,20,1,0.46,0.9466666666666667,0.48666666666666664,00:01:48.00842022895813
6,500,15,30,0.025,5e-05,13.733333333333333,13.733333333333333,"(3, 5)",8.743284562680974e-05,200,3,20,1,0.32666666666666666,0.84,0.5133333333333333,00:01:47.28482913970947
7,500,15,30,0.025,5e-05,15.133333333333333,15.133333333333333,"(3, 5)",3.583723200952815e-05,200,3,20,1,0.5,0.7266666666666667,0.22666666666666668,00:02:10.765141010284424
8,500,15,30,0.025,5e-05,15.066666666666666,15.066666666666666,"(3, 5)",5.591637931020102e-05,200,3,20,1,0.5,0.8066666666666666,0.30666666666666664,00:02:2.246199131011963
9,500,15,30,0.025,5e-05,14.0,14.0,"(3, 5)",2.799365255790608e-05,200,3,20,1,0.46,0.7133333333333334,0.25333333333333335,00:01:54.146281242370605
10,500,15,30,0.025,5e-05,14.0,14.0,"(3, 5)",5.936669274638409e-05,200,3,20,1,0.5933333333333334,0.76,0.16666666666666663,00:01:41.75269913673401
11,500,15,30,0.025,5e-05,14.4,14.4,"(3, 5)",5.222812561175738e-05,200,3,20,1,0.41333333333333333,0.5533333333333333,0.14,00:01:55.538485288619995
12,500,15,30,0.025,5e-05,16.866666666666667,16.866666666666667,"(3, 5)",3.7570754335679676e-05,200,3,20,1,0.4866666666666667,0.8133333333333334,0.32666666666666666,00:02:3.891231060028076
13,500,15,30,0.025,5e-05,16.0,16.0,"(3, 5)",8.500356708850427e-05,200,3,20,1,0.5733333333333334,0.7866666666666666,0.21333333333333326,00:01:54.20530605316162
14,500,15,30,0.025,5e-05,14.866666666666667,14.866666666666667,"(3, 5)",0.00011566029909316873,200,3,20,1,0.4266666666666667,0.8066666666666666,0.37999999999999995,00:02:4.656363487243652
15,500,15,30,0.025,5e-05,14.066666666666666,14.066666666666666,"(3, 5)",5.890881487367994e-05,200,3,20,1,0.5066666666666667,0.8133333333333334,0.30666666666666664,00:01:53.59022617340088
