,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.025,0.001,13.6666666666667,13.6666666666667,"(1, 3)",2.16144922948926E-05,200,5,20,1,0.5,0.5,0
1,500,15,30,0.025,0.001,13.9333333333333,13.9333333333333,"(1, 3)",2.66926540341179E-05,200,5,20,1,0.446666666666667,0.44,-0.006666666666667
2,500,15,30,0.025,0.001,14,14,"(1, 3)",3.49498668268789E-05,200,5,20,1,0.18,0.48,0.3
3,500,15,30,0.025,0.001,15.5333333333333,15.5333333333333,"(1, 3)",3.57525454806289E-05,200,5,20,1,0.506666666666667,0.833333333333333,0.326666666666667
4,500,15,30,0.025,0.001,15.2666666666667,15.2666666666667,"(1, 3)",4.31834938011629E-05,200,5,20,1,0.386666666666667,0.5,0.113333333333333
5,500,15,30,0.025,0.001,13.1333333333333,13.1333333333333,"(1, 3)",3.27421605471803E-05,200,5,20,1,0.48,0.5,0.02
6,500,15,30,0.025,0.001,15.0666666666667,15.0666666666667,"(1, 3)",2.4682439209049E-05,200,5,20,1,0.5,0.5,0
7,500,15,30,0.025,0.001,14.7333333333333,14.7333333333333,"(1, 3)",2.32854614862906E-05,200,5,20,1,0.44,0.5,0.06
8,500,15,30,0.025,0.001,14.9333333333333,14.9333333333333,"(1, 3)",2.21312066147805E-05,200,5,20,1,0.5,0.466666666666667,-0.033333333333333
9,500,15,30,0.025,0.001,16.2666666666667,16.2666666666667,"(1, 3)",2.68341479373518E-05,200,5,20,1,0.613333333333333,0.5,-0.113333333333333
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,diff_mean,diff_std,post_mean,post_std,,,,,,,,,,,,
,0.157333333333333,0.222781518394753,0.649333333333333,0.221982092482065,,,,,,,,,,,,
