,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.05,5E-05,16.4,16.4,"(1, 3)",4.30557905532392E-05,200,5,20,1,0.5,0.68,0.18
1,500,15,30,0.05,5E-05,17.4666666666667,17.4666666666667,"(1, 3)",3.56320005980043E-05,200,5,20,1,0.5,0.933333333333333,0.433333333333333
2,500,15,30,0.05,5E-05,15.6666666666667,15.6666666666667,"(1, 3)",2.27473292095021E-05,200,5,20,1,0.5,0.873333333333333,0.373333333333333
3,500,15,30,0.05,5E-05,14.4,14.4,"(1, 3)",2.40180047147546E-05,200,5,20,1,0.5,0.633333333333333,0.133333333333333
4,500,15,30,0.05,5E-05,16.2666666666667,16.2666666666667,"(1, 3)",4.16834555544327E-05,200,5,20,1,0.5,0.646666666666667,0.146666666666667
5,500,15,30,0.05,5E-05,14.5333333333333,14.5333333333333,"(1, 3)",3.52344150316225E-05,200,5,20,1,0.42,0.633333333333333,0.213333333333333
6,500,15,30,0.05,5E-05,14.4666666666667,14.4666666666667,"(1, 3)",3.96830965985951E-05,200,5,20,1,0.5,0.74,0.24
7,500,15,30,0.05,5E-05,15.8,15.8,"(1, 3)",3.801951635424E-05,200,5,20,1,0.5,0.193333333333333,-0.306666666666667
8,500,15,30,0.05,5E-05,14.2,14.2,"(1, 3)",4.61417697403341E-05,200,5,20,1,0.5,0.786666666666667,0.286666666666667
9,500,15,30,0.05,5E-05,15.1333333333333,15.1333333333333,"(1, 3)",2.76828978689915E-05,200,5,20,1,0.5,0.373333333333333,-0.126666666666667
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,diff_mean,diff_std,post_mean,post_std,,,,,,,,,,,,
,0.157333333333333,0.222781518394753,0.649333333333333,0.221982092482065,,,,,,,,,,,,
