,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff
0,500,15,30,0.005,0.0001,16.1333333333333,16.1333333333333,"(1, 3)",4.34652565850094E-05,200,5,20,1,0.5,0.673333333333333,0.173333333333333
1,500,15,30,0.005,0.0001,16.7333333333333,16.7333333333333,"(1, 3)",5.19916653867684E-05,200,5,20,1,0.5,0.653333333333333,0.153333333333333
2,500,15,30,0.005,0.0001,15.8,15.8,"(1, 3)",3.21495637460045E-05,200,5,20,1,0.5,0.74,0.24
3,500,15,30,0.005,0.0001,15.3333333333333,15.3333333333333,"(1, 3)",3.05748019837059E-05,200,5,20,1,0.5,0.513333333333333,0.013333333333333
4,500,15,30,0.005,0.0001,13.8666666666667,13.8666666666667,"(1, 3)",3.06248121640068E-05,200,5,20,1,0.5,0.78,0.28
5,500,15,30,0.005,0.0001,14.2666666666667,14.2666666666667,"(1, 3)",2.93524582801252E-05,200,5,20,1,0.5,0.406666666666667,-0.093333333333333
6,500,15,30,0.005,0.0001,14.2666666666667,14.2666666666667,"(1, 3)",3.75631739851587E-05,200,5,20,1,0.5,0.76,0.26
7,500,15,30,0.005,0.0001,14.1333333333333,14.1333333333333,"(1, 3)",4.07592777136913E-05,200,5,20,1,0.5,0.506666666666667,0.006666666666667
8,500,15,30,0.005,0.0001,14.8,14.8,"(1, 3)",3.87895519398238E-05,200,5,20,1,0.5,0.506666666666667,0.006666666666667
9,500,15,30,0.005,0.0001,14.2,14.2,"(1, 3)",1.80403814180378E-05,200,5,20,1,0.5,0.553333333333333,0.053333333333333
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.609333333333333,0.109333333333333
,,,,,,,,,,,,,,,0.128858233902395,0.128858233902395
