,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,50,30,0.025,5e-05,49.8,49.8,"(1, 3)",9.560263357945074e-05,200,3,20,0.25,0.5,0.5466666666666666,0.046666666666666634,00:01:59.648436307907104
1,500,50,30,0.025,5e-05,49.06666666666667,49.06666666666667,"(1, 3)",8.664643493522938e-05,200,3,20,0.25,0.5,0.6933333333333334,0.19333333333333336,00:02:1.2651400566101074
2,500,50,30,0.025,5e-05,51.93333333333333,51.93333333333333,"(1, 3)",8.506574216921158e-05,200,3,20,0.25,0.5,0.5466666666666666,0.046666666666666634,00:01:48.20508003234863
3,500,50,30,0.025,5e-05,51.93333333333333,51.93333333333333,"(1, 3)",6.420725731593953e-05,200,3,20,0.25,0.5,0.44,-0.06,00:02:2.031390905380249
4,500,50,30,0.025,5e-05,49.266666666666666,49.266666666666666,"(1, 3)",7.522917065468875e-05,200,3,20,0.25,0.5,0.4533333333333333,-0.04666666666666669,00:02:0.29016613960266113
5,500,50,30,0.025,5e-05,50.2,50.2,"(1, 3)",0.00010672122176966385,200,3,20,0.25,0.5,0.5133333333333333,0.013333333333333308,00:01:46.53347635269165
6,500,50,30,0.025,5e-05,49.93333333333333,49.93333333333333,"(1, 3)",6.973780333864199e-05,200,3,20,0.25,0.5,0.46,-0.03999999999999998,00:01:55.46169424057007
7,500,50,30,0.025,5e-05,52.266666666666666,52.266666666666666,"(1, 3)",7.138313624269518e-05,200,3,20,0.25,0.5,0.5666666666666667,0.06666666666666665,00:01:52.971274614334106
8,500,50,30,0.025,5e-05,49.333333333333336,49.333333333333336,"(1, 3)",6.532852625574869e-05,200,3,20,0.25,0.5,0.47333333333333333,-0.026666666666666672,00:02:1.1923394203186035
9,500,50,30,0.025,5e-05,48.666666666666664,48.666666666666664,"(1, 3)",6.835470039524102e-05,200,3,20,0.25,0.5,0.46,-0.03999999999999998,00:01:53.73694610595703
10,500,50,30,0.025,5e-05,49.6,49.6,"(1, 3)",8.945921902615644e-05,200,3,20,0.25,0.5,0.52,0.020000000000000018,00:02:3.56937575340271
