,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.005,0.0005,96.26666666666667,96.26666666666667,"(1, 3)",0.00013820115417050166,200,5,20,1,0.5,0.5,0.0,00:01:7.886157035827637
1,500,100,30,0.005,0.0005,101.2,101.2,"(1, 3)",0.00011677501410632062,200,5,20,1,0.5,0.5,0.0,00:01:9.035194158554077
2,500,100,30,0.005,0.0005,97.66666666666667,97.66666666666667,"(1, 3)",0.00012472237505612026,200,5,20,1,0.5,0.5,0.0,00:01:3.62412691116333
3,500,100,30,0.005,0.0005,101.26666666666667,101.26666666666667,"(1, 3)",0.0001115276324245524,200,5,20,1,0.5,0.5,0.0,00:01:0.33120274543762207
4,500,100,30,0.005,0.0005,101.26666666666667,101.26666666666667,"(1, 3)",0.00013267840600228865,200,5,20,1,0.5,0.5,0.0,00:01:4.093410968780518
5,500,100,30,0.005,0.0005,98.93333333333334,98.93333333333334,"(1, 3)",0.00011834063107747955,200,5,20,1,0.5,0.5,0.0,00:02:41.76402187347412
6,500,100,30,0.005,0.0005,98.86666666666666,98.86666666666666,"(1, 3)",0.00011287366034717794,200,5,20,1,0.5,0.5,0.0,00:00:58.255884885787964
7,500,100,30,0.005,0.0005,97.2,97.2,"(1, 3)",0.00013526170242642195,200,5,20,1,0.5,0.5,0.0,00:00:57.039016008377075
8,500,100,30,0.005,0.0005,98.6,98.6,"(1, 3)",0.00010120934092027282,200,5,20,1,0.5,0.5,0.0,00:01:23.514205932617188
9,500,100,30,0.005,0.0005,102.4,102.4,"(1, 3)",0.00011465596372902647,200,5,20,1,0.5,0.5,0.0,00:01:3.135692834854126
