,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.05,0.0001,94.93333333333334,94.93333333333334,"(1, 3)",0.00011851769226388663,200,5,20,1,0.5133333333333333,0.9733333333333334,0.4600000000000001,00:01:25.335392475128174
1,500,100,30,0.05,0.0001,98.4,98.4,"(1, 3)",0.00013173111450813141,200,5,20,1,0.5,0.9866666666666667,0.4866666666666667,00:01:23.144405603408813
2,500,100,30,0.05,0.0001,98.73333333333333,98.73333333333333,"(1, 3)",0.0001242915971166571,200,5,20,1,0.49333333333333335,0.86,0.36666666666666664,00:01:14.175307035446167
3,500,100,30,0.05,0.0001,98.0,98.0,"(1, 3)",0.000151724590831955,200,5,20,1,0.8133333333333334,0.5666666666666667,-0.2466666666666667,00:01:26.00409722328186
4,500,100,30,0.05,0.0001,101.53333333333333,101.53333333333333,"(1, 3)",0.0001309983389522027,200,5,20,1,0.66,0.5,-0.16000000000000003,00:01:38.89229440689087
5,500,100,30,0.05,0.0001,103.73333333333333,103.73333333333333,"(1, 3)",0.00015270083479239095,200,5,20,1,0.56,0.9733333333333334,0.41333333333333333,00:01:25.929121494293213
6,500,100,30,0.05,0.0001,96.13333333333334,96.13333333333334,"(1, 3)",0.00010949289621801907,200,5,20,1,0.5,0.9733333333333334,0.4733333333333334,00:01:6.615718603134155
7,500,100,30,0.05,0.0001,101.53333333333333,101.53333333333333,"(1, 3)",0.00015004893263656025,200,5,20,1,0.41333333333333333,0.9266666666666666,0.5133333333333333,00:01:13.164474725723267
8,500,100,30,0.05,0.0001,100.33333333333333,100.33333333333333,"(1, 3)",0.00013872337612225627,200,5,20,1,0.5,0.5,0.0,00:01:23.676084280014038
9,500,100,30,0.05,0.0001,97.93333333333334,97.93333333333334,"(1, 3)",0.00012458290829969949,200,5,20,1,0.47333333333333333,0.9933333333333333,0.52,00:01:20.787013053894043
