,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,100,30,0.025,0.001,94.2,94.2,"(1, 3)",0.00015997888523270763,200,5,20,1,0.5,0.5,0.0,00:00:50.717307329177856
1,500,100,30,0.025,0.001,100.8,100.8,"(1, 3)",0.0001152043722429944,200,5,20,1,0.5,0.5,0.0,00:00:50.07448863983154
2,500,100,30,0.025,0.001,99.86666666666666,99.86666666666666,"(1, 3)",0.00011398177998072736,200,5,20,1,0.5,0.5,0.0,00:00:50.73811221122742
3,500,100,30,0.025,0.001,103.53333333333333,103.53333333333333,"(1, 3)",0.00015167921578649847,200,5,20,1,0.5,0.5,0.0,00:00:52.939810276031494
4,500,100,30,0.025,0.001,98.2,98.2,"(1, 3)",0.0001403468443080557,200,5,20,1,0.5,0.5,0.0,00:00:50.441558599472046
5,500,100,30,0.025,0.001,99.6,99.6,"(1, 3)",0.00011853953991741884,200,5,20,1,0.5,0.5,0.0,00:00:53.225470781326294
6,500,100,30,0.025,0.001,101.8,101.8,"(1, 3)",0.00016423131457619943,200,5,20,1,0.5,0.5,0.0,00:00:51.02695608139038
7,500,100,30,0.025,0.001,97.73333333333333,97.73333333333333,"(1, 3)",0.00013533015576407633,200,5,20,1,0.5,0.5,0.0,00:00:48.93942093849182
8,500,100,30,0.025,0.001,98.53333333333333,98.53333333333333,"(1, 3)",0.00014183194806474453,200,5,20,1,0.5,0.5,0.0,00:00:46.09482741355896
9,500,100,30,0.025,0.001,96.6,96.6,"(1, 3)",0.00015001170360968752,200,5,20,1,0.5,0.5,0.0,00:00:49.482210636138916
